,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
330,Pakxan,98,LA,1666382253,83,18.3778,103.6601,72.03,5.91
331,Bowen,0,AU,1666382255,83,-20.0167,148.2333,69.93,4.47
332,Straumen,11,NO,1666382256,78,63.8709,11.2999,33.8,3.2
333,Samarai,27,PG,1666382257,80,-10.6167,150.6667,80.8,5.66
334,Jijiga,51,ET,1666382259,77,9.35,42.8,65.68,6.51
335,Umm Kaddadah,63,SD,1666382260,16,13.6017,26.6876,86.88,13.82
336,High Level,75,CA,1666382108,61,58.5169,-117.136,42.91,2.3
337,Parabel',80,RU,1666382263,91,58.6978,81.4825,40.08,10.74
338,Sioux Lookout,40,CA,1666382264,54,50.1001,-91.917,55.47,11.5
339,Vostok,99,RU,1666382266,97,46.4856,135.8833,40.8,2.75
340,Miraflores,100,MX,1666382267,62,19.2167,-98.8083,69.03,2.42
341,Exeter,40,GB,1666382268,93,50.7236,-3.5275,59.85,8.05
342,Kirkuk,100,IQ,1666382270,48,35.4681,44.3922,73.2,7.29
343,Mopipi,0,BW,1666382271,24,-21.1833,24.8833,78.62,9.4
344,Tabory,31,RU,1666382273,84,58.5198,64.5495,30.7,8.21
345,Opoczno,100,PL,1666382274,60,51.3757,20.2783,46.9,8.59
346,Tanabi,98,BR,1666382276,53,-20.6264,-49.6492,79.02,15.01
347,Morondava,25,MG,1666382277,76,-20.2833,44.2833,75.83,5.32
348,Korocha,62,RU,1666382279,78,50.8107,37.1953,34.52,4.94
349,Phan Thiet,99,VN,1666382280,90,10.9333,108.1,75.25,3.56
350,Moose Factory,100,CA,1666382281,81,51.2585,-80.6094,44.6,20.71
351,Beringovskiy,99,RU,1666382283,96,63.05,179.3167,31.69,2.19
352,Xingcheng,7,CN,1666382285,62,40.6167,120.7167,53.8,11.21
353,Pangnirtung,100,CA,1666382286,80,66.1451,-65.7125,32.0,5.75
